,BG32,BG41,BG43,BG2,BG3,BG6,BG8,BG72,BG68,BG78,BG52,BG53,BG55,BG22,BG25,BG23
TRINITY_DN67032_c2_g7,0,0.285,0,0,1.168,0,0.398,0.352,0,0,0,1.054,0.516,0.36,0.785,0
TRINITY_DN64960_c3_g2,2.017,2.022,2.177,2.36,1.976,1.633,1.563,2.296,1.957,1.688,1.651,2.323,2.782,2.084,1.813,3.547
TRINITY_DN64227_c1_g2,24.436,16.778,19.142,18.171,17.885,16.965,15.631,14.773,14.606,13.647,11.737,4.718,7.253,24.227,21.335,14.698
TRINITY_DN51750_c12_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50607_c3_g15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN49982_c8_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56494_c6_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66689_c7_g1,0.22,0.066,0,0.086,0,0,0,0,0,0.077,0,0.082,0,0.246,0,0
TRINITY_DN52215_c12_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51240_c13_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65764_c3_g13,0.17,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0
TRINITY_DN50496_c16_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN102690_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60653_c2_g1,0.07,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0
TRINITY_DN53925_c1_g1,0.31,0.408,0.374,0,1.071,0.826,0.369,0.635,0,0,0,0.501,1.89,0.512,0,0.519
TRINITY_DN67970_c1_g1,0,3.228,0,0,0,0,0.748,0,2.266,0,0,0.983,0,0,0.297,1.701
TRINITY_DN94265_c0_g1,0,0.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66483_c5_g2,0.29,0.294,0.288,0.226,0.623,0.115,0.447,0.84,0.14,0.633,0.298,0.113,0.023,0.351,0.318,0.239
TRINITY_DN63180_c3_g2,1.688,2.013,1.755,2.058,1.285,2.2,2.757,1.514,2.476,1.41,1.929,2.866,2.394,3.041,1.029,1.276
TRINITY_DN58369_c1_g4,0,0.038,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0
TRINITY_DN39304_c0_g1,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN120592_c0_g1,0,0,0,0,0,0,0,0,0,0,0.298,0,0,0,0,0
TRINITY_DN65490_c2_g1,9.007,18.344,14.175,10.702,11.469,12.306,11.34,13.541,9.824,15.019,10.633,19.507,12.3,14.989,10.826,19.262
TRINITY_DN64820_c1_g1,0,0,0,0.582,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51537_c3_g7,1.458,3.447,2.628,1.617,1.061,4.054,4.116,2.462,1.318,3.433,3.733,4.022,1.397,3.335,4.051,2.583
TRINITY_DN159037_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64076_c0_g1,0,0.066,0.086,0.162,0,0,0,0,0,0,0,0,0,0,0.085,0
TRINITY_DN63596_c3_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN5508_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
