,GG595,GG596,GG826,GG823,GG607,GG831,GG646,GG815,GG633,GG806,GG808,GG811,GG797,GG675,GG671
TRINITY_DN52831_c0_g1,8.22,9.393,9.485,8.405,9.186,10.002,8.84,8.829,8.621,9.012,8.493,9.557,9.859,7.922,8.086
TRINITY_DN63815_c9_g3,11.554,9.255,9.706,11.143,10.054,15.092,13.025,13.504,9.967,12.304,8.417,8.819,9.116,10.107,11.965
TRINITY_DN67626_c9_g3,21.011,24.148,21.14,18.089,21.706,19.327,17.523,15.34,16.198,20.595,25.497,18.501,19.777,19.796,16.935
TRINITY_DN56780_c3_g1,19.378,22.011,10.015,37.355,9.126,21.331,26.245,20.487,18.046,24.792,14.244,22.106,11.383,29.382,33.829
TRINITY_DN51007_c6_g2,5.401,10.275,9.822,5.919,7.488,7.153,7.979,7.783,6.774,8.494,9.816,8.529,6.275,6.616,5.662
TRINITY_DN45352_c0_g1,8.725,9.922,7.69,7.932,3.854,5.139,16.242,14.099,10.218,13.737,5.475,11.531,6.216,5.207,6.253
TRINITY_DN54584_c2_g1,9.17,10.471,16.345,22.306,13.868,14.905,13.005,14.499,11.804,12.111,8.95,13.66,17.52,8.749,18.961
TRINITY_DN59993_c0_g1,98.415,106.418,69.759,69.204,83.46,104.857,79.527,87.188,83.184,88.742,89.993,82.128,72.059,119.938,123.513
TRINITY_DN57491_c0_g2,31.743,92.28,43.39,60.769,26.259,11.191,56.978,46.983,24.986,18.472,26.792,30.115,78.928,53.997,29.939
TRINITY_DN63489_c4_g11,15.837,13.138,10.43,9.22,8.656,9.992,9.984,5.486,9.289,12.68,13.453,10.326,9.908,14.262,8.493
TRINITY_DN61878_c2_g1,10.159,5.628,7.507,9.673,8.187,8.322,8.859,9.013,8.986,8.291,6.017,7.542,10.047,8.851,8.625
TRINITY_DN50717_c4_g4,23.513,19.629,19.365,21.994,20.278,17.745,18.921,18.098,19.476,21.307,22.165,19.644,21.924,22.94,21.538
TRINITY_DN51916_c5_g2,20.011,22.786,19.616,19.075,22.734,11.849,17.972,15.422,23.129,26.133,19.413,18.428,13.254,18.183,16.11
TRINITY_DN56670_c2_g1,21.99,39.571,36.867,35.141,39.968,20.162,35.153,43.886,38.628,36.842,28.573,28.442,34.822,41.286,33.829
TRINITY_DN68012_c8_g1,6.558,8.285,6.86,8.667,4.163,8.067,8.869,6.07,12.264,5.365,6.036,5.745,4.692,6.473,7.139
TRINITY_DN60572_c3_g5,12.751,8.246,10.044,13.458,13.609,11.348,11.382,13.033,12.253,9.297,11.254,11.915,14.699,14.497,11.477
TRINITY_DN65744_c0_g1,44.326,35.159,26.968,14.988,14.937,32.414,22.686,27.911,19.82,25.289,39.341,16.07,33.743,11.24,29.908
TRINITY_DN56032_c8_g1,9.724,9.393,9.735,12.472,10.564,8.332,9.935,12.53,12.044,10.272,7.569,12.133,8.384,10.128,11.13
TRINITY_DN68095_c4_g3,14.798,11.491,12.273,22.055,14.657,14.276,14.12,15.319,14.1,14.834,12.701,16.475,17.243,12.792,17.464
TRINITY_DN49714_c16_g1,0,0,0.27,1.379,0.25,0,0,0,0,0,9.892,4.623,0,2.277,0
TRINITY_DN53245_c7_g1,19.408,26.08,22.578,25.769,23.683,22.127,23.967,25.388,22.252,26.783,24.031,26.136,27.566,25.533,24.043
TRINITY_DN53784_c4_g6,3.116,7.647,9.05,4.661,4.822,6.19,8.37,7.024,4.384,7.62,5.922,8.123,5.503,3.502,5.978
TRINITY_DN61849_c5_g1,52.22,73.779,45.435,50.974,45.629,39.272,72.252,73.448,52.081,42.633,31.572,44.575,54.994,58.928,50.876
TRINITY_DN57249_c5_g2,16.698,12.785,12.244,5.577,10.853,6.907,13.562,11.443,12.18,15.292,9.969,21.368,6.592,16.457,11.904
TRINITY_DN60411_c2_g2,92.708,135.459,99.786,77.639,103.179,83.801,91.632,100.395,197.365,82.554,87.203,104.348,72.504,88.494,115.998
TRINITY_DN57043_c3_g1,10.624,7.706,9.62,11.354,11.033,10.749,12.379,15.75,7.911,10.658,6.151,10.461,9.898,9.464,10.234
TRINITY_DN61311_c5_g1,7.914,7.402,6.706,8.858,8.207,9.432,7.783,7.434,8.204,6.99,6.579,6.877,6.899,7.146,9.175
TRINITY_DN52719_c9_g1,3.452,9.667,9.224,4.761,4.852,4.805,5.828,6.521,6.367,4.633,5.894,1.745,5.236,5.145,6.874
TRINITY_DN51484_c3_g2,4.214,5.432,5.316,22.699,7.798,5.316,6.688,7.906,5.135,8.037,7.16,6.222,11.076,8.555,5.316
TRINITY_DN64135_c5_g1,9.496,6.265,11.279,4.177,10.264,12.557,10.003,6.593,5.281,5.385,6.179,7.791,3.593,5.421,4.348
TRINITY_DN52820_c7_g2,7.795,7.647,6.87,7.64,7.978,7.752,8.057,7.485,7.911,7.356,7.417,7.479,9.661,6.912,7.576
TRINITY_DN60745_c5_g1,29.28,43.346,36.298,33.762,30.043,30.154,42.692,47.906,30.268,38.63,27.183,41.614,28.814,31.128,33.992
TRINITY_DN49333_c0_g3,1.058,0,0.511,0,0.709,0.246,0.733,0,18.035,0.498,0.257,0.686,0.406,0.949,1.191
TRINITY_DN65373_c8_g2,4.55,3.098,3.039,5.889,10.514,4.48,3.051,3.343,3.59,1.311,4.38,3.511,3.078,3.982,4.572
TRINITY_DN56154_c0_g7,249.96,203.433,158.372,199.348,233.845,198.65,172.645,209.752,242.046,184.159,177.692,248.7,219.76,257.12,241.406
TRINITY_DN65598_c4_g2,14.264,10.579,10.932,13.418,12.451,11.162,12.281,12.038,12.911,11.298,11.511,12.31,12.719,12.68,14.664
TRINITY_DN57564_c5_g1,5.609,9.422,10.343,9.09,10.643,10.582,8.693,13.668,8.245,9.226,11.997,7.251,8.938,10.985,9.389
TRINITY_DN59798_c5_g1,26.243,18.315,15.689,22.276,24.392,22.019,21.189,18.447,24.36,19.427,19.918,18.844,19.866,20.235,19.043
TRINITY_DN61547_c0_g4,7.093,29.286,13.18,0,2.536,5.65,23.047,2.84,187.335,0,0,4.197,0,7.688,4.033
TRINITY_DN49679_c6_g1,12.81,13.02,10.121,5.345,9.515,8.165,11.343,6.204,10.896,7.661,9.483,10.17,13.293,15.528,12.454
TRINITY_DN66014_c6_g1,20.605,24.178,19.268,19.84,10.833,33.593,35.896,20.364,31.353,13.717,18.376,30.458,17.332,8.433,28.299
TRINITY_DN55427_c5_g2,9.833,11.903,12.398,9.361,14.677,14.65,12.976,13.371,12.963,12.426,15.548,16.081,17.738,12.026,10.835
TRINITY_DN50989_c0_g1,7.468,10.785,9.668,7.912,9.735,10.71,11.265,7.588,8.266,9.449,12.615,7.791,9.75,6.759,6.66
TRINITY_DN66275_c1_g1,10.634,8.569,10.459,11.365,10.294,11.564,14.609,12.294,11.053,10.201,9.416,12.455,9.997,8.657,14.185
TRINITY_DN58971_c5_g6,5.48,7.461,8.114,8.053,6.18,9.511,6.747,7.813,6.868,8.332,6.874,6.046,6.048,6.268,7.128
TRINITY_DN66742_c6_g1,13.433,8.412,12.553,12.049,9.825,13.726,11.587,10.038,7.129,12.772,13.139,12.486,10.749,10.291,13.33
